data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
Rijkswaterstaat;SCHIERMNOBSD;Badstrand Prins Bernhardweg, Schiermonnikoog;6.1901_53.5039;FALSE;NA;SCHIERMNOBSD;Badstrand Prins Bernhardweg, Schiermonnikoog;
Rijkswaterstaat;donar_LAUWOHVMD;LAUWOHVMD;6.2_53.4106;TRUE;Lauwersoog_havenmond;Lauwersoog_havenmond;Lauwersoog havenmond;
Rijkswaterstaat;LAUWOHVMD;Lauwersoog havenmond;6.2_53.4106;FALSE;Lauwersoog_havenmond;Lauwersoog_havenmond;Lauwersoog havenmond;
Rijkswaterstaat;SCHIERMNOG;Schiermonnikoog;6.2029_53.4689;FALSE;NA;SCHIERMNOG;Schiermonnikoog;
RBINS;eu_E1323_GKSS;E1323_GKSS;6.206_56.5;FALSE;NA;E1323_GKSS;E1323_GKSS;
Rijkswaterstaat;LAUWOBTHVN;Lauwersoog buitenhaven;6.2061_53.415;FALSE;NA;LAUWOBTHVN;Lauwersoog buitenhaven;
IMR;eu_M192;M192;6.21_57.81;FALSE;NA;M192;M192;
Rijkswaterstaat;ROTTMPT70;Rottumerplaat 70 km uit de kust;6.2128_54.1173;FALSE;NA;ROTTMPT70;Rottumerplaat 70 km uit de kust;
NIOZ;nioz_ROTTMPT70;ROTTMPT70;6.2142_54.1181;FALSE;ROTTMPT70;ROTTMPT70;Rottumerplaat 70 km uit de kust;
RBINS;eu_R0116_GKSS;R0116_GKSS;6.2185_55.4033;FALSE;NA;R0116_GKSS;R0116_GKSS;
RBINS;eu_E1331_GKSS;E1331_GKSS;6.219_53.9;FALSE;NA;E1331_GKSS;E1331_GKSS;
RBINS;eu_R0150_GKSS;R0150_GKSS;6.22_53.6675;FALSE;NA;R0150_GKSS;R0150_GKSS;
RBINS;eu_E1316_GKSS;E1316_GKSS;6.223_54.993;FALSE;NA;E1316_GKSS;E1316_GKSS;
Rijkswaterstaat;OORT;Oort (zuidrand Brakzand);6.242_53.4243;FALSE;NA;OORT;Oort (zuidrand Brakzand);
IMR;eu_M458;M458;6.25_59.49;FALSE;NA;M458;M458;
